,Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
123,45 Irving Avenue,,The NOOK,The Mann Group,Brooklyn,1400,,,Bushwick,10/07/2019,Max Lu,"Jaime Schultz, Jeffrey Lopez",Retail Leasing,11/08/2019,MySpace NYC,Lee & Associates NYC,,,
124,100 7th Avenue,,Sugaring NYC,Kotsonis Realty,Brooklyn,1350,,,Park Slope,10/07/2019,David Yablon,Jeffrey Kessler,Retail Leasing,10/11/2019,Katz & Associates,LEVITAN,,,
125,100 7th Avenue,,Sugaring NYC,Kotsonis Realty,Brooklyn,1350,,,Park Slope,10/07/2019,David Yablon,Jeffrey Kessler,Retail Leasing,10/11/2019,Katz & Associates,LEVITAN,,,
126,31 West 27th Street,,Equinox,Savanna,Manhattan,39025,,,Nomad,10/03/2019,,,Retail Leasing,10/04/2019,,,,,
127,781 Metropolitan Avenue,,Brooklyn Harvest Market,Adam America,Brooklyn,10000,,,East Williamsburg,10/03/2019,"Garry Steinberg, Richard Kave",Hymie Dweck,Retail Leasing,10/04/2019,Lee & Associates NYC,Newmark Knight Frank,,,
128,337 West Broadway,,Flippers,Zucker organization,Manhattan,2400,,,Soho,10/03/2019,Tarik Bouzourene,Joshua Roth,Retail Leasing,10/04/2019,REAL New York,Manhattan Skyline Management,,,
129,1260 Madison Avenue,,Dr Smood,21 East 90th Apts,Manhattan,970,,,Carnegie Hill,10/03/2019,"Albert Dayan, Jack Anteby","Beth Rosen, Emily Simmonds",Retail Leasing,10/11/2019,Compass,Ripco Real Estate,,,
130,1260 Madison Avenue,,Dr Smood,21 East 90th Apts,Manhattan,970,,,Carnegie Hill,10/03/2019,"Albert Dayan, Jack Anteby","Beth Rosen, Emily Simmonds",Retail Leasing,10/11/2019,Compass,Ripco Real Estate,,,
131,4117 Broadway,,Labella Nails & Spa,Broadway Towers NYC,Manhattan,710,,,Washington Heights,10/03/2019,David Reich,Jeffrey Angel,Retail Leasing,10/11/2019,Norman Bobrow & Company,RES Commercial,,,
132,4117 Broadway,,Labella Nails & Spa,Broadway Towers NYC,Manhattan,710,,,Washington Heights,10/03/2019,David Reich,Jeffrey Angel,Retail Leasing,10/11/2019,Norman Bobrow & Company,RES Commercial,,,
133,1260 Madison Avenue,,Ginette NY Jewelry,21 East 90th Apts,Manhattan,450,,,Carnegie Hill,10/03/2019,"Joshua Lewin, Jeremy Aidan","Beth Rosen, Emily Simmonds",Retail Leasing,10/11/2019,Isaacs & Company,Ripco Real Estate,,,
134,1260 Madison Avenue,,Ginette NY Jewelry,21 East 90th Apts,Manhattan,450,,,Carnegie Hill,10/03/2019,"Joshua Lewin, Jeremy Aidan","Beth Rosen, Emily Simmonds",Retail Leasing,10/11/2019,Isaacs & Company,Ripco Real Estate,,,
135,1225 Madison Avenue,,Elaine Kim,47-88 Tenants Corporation,Manhattan,423,,,Carnegie Hill,10/03/2019,,"Beth Rosen, Emily Simmonds",Retail Leasing,10/11/2019,,Ripco Real Estate,,,
136,1225 Madison Avenue,,Elaine Kim,47-88 Tenants Corporation,Manhattan,423,,,Carnegie Hill,10/03/2019,,"Beth Rosen, Emily Simmonds",Retail Leasing,10/11/2019,,Ripco Real Estate,,,
137,1260 Madison Avenue,,Laila's Florist,21 East 90th Apts,Manhattan,350,,,Carnegie Hill,10/03/2019,Jansen Hansen,"Beth Rosen, Emily Simmonds",Retail Leasing,10/11/2019,SRS,Ripco Real Estate,,,
138,1260 Madison Avenue,,Laila's Florist,21 East 90th Apts,Manhattan,350,,,Carnegie Hill,10/03/2019,Jansen Hansen,"Beth Rosen, Emily Simmonds",Retail Leasing,10/11/2019,SRS,Ripco Real Estate,,,
139,315 Hudson Street,,MY NYC Dentist,Jack Resnick & Sons,Manhattan,4446,,,Soho,10/02/2019,"Corey Hight, Elliot Zelinger","Brett Greenberg, Adam Rappaport",Retail Leasing,10/04/2019,Savitt Partners,Jack Resnick & Sons,,,
140,20 East 20th Street,,Brideside Bride,Freed USA,Manhattan,3500,,,Flatiron,10/02/2019,"Justin Fantasia, Carly Geller","Andrew Kahn, Christian Stanton",Retail Leasing,10/04/2019,Newmark Knight Frank,Cushman & Wakefield,,,
141,193 Smith Street,,Zuns 193 Corp,Empathy Realty,Brooklyn,2450,,,Boerum Hill,10/02/2019,,,Retail Leasing,10/04/2019,PD Properties,Smith Hanten Properties,,,
142,19 East 62nd Street,,Wrist Aficionado,19 East 62nd Street Corp,Manhattan,1400,,,Upper East Side,09/30/2019,"Diana Zisholtz, Arthur Maglio, Corey Shuster","Diana Zisholtz, Arthur Maglio, Corey Shuster",Retail Leasing,10/04/2019,Douglas Elliman,Douglas Elliman,,,
143,133-15 39th Avenue,,Orangetheory,"F&T Group, SCG America",Queens,3200,,,Flushing,09/26/2019,"Craig Gelberg, Jessie Wang, Evan Schuckman","Seth Kessler, Ian Rice",Retail Leasing,09/27/2019,Ripco Real Estate,SCG Retail,,,
144,319 Sixth Avenue,,Go Stir-Fry Express,ATA Enterprises,Manhattan,1450,,,West Village,09/26/2019,Lip Fei Jiang,"John DiGangi, Declan Devlin",Retail Leasing,11/01/2019,Chibeca Real Estate,Murro Realty,,,
145,61-35 Junction Boulevard,,Ikea,Vornado Realty Trust,Queens,115000,,,Rego Park,09/25/2019,,Robert Minutoli,Retail Leasing,09/27/2019,CBRE,Urban Edge Properties,,,
146,415 Knickerbocker Avenue,,415 Knickerbocker LLC,415 Knickerbocker Inc,Brooklyn,3700,,,Bushwick,09/25/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,09/27/2019,Augenbaum Realty,Augenbaum Realty,,,
147,1 Grand Central Place,,First Republic Bank,Empire State Realty Trust,Manhattan,14430,,,Grand Central,09/24/2019,"Frank Doyle, Eric Grace",Fred Posniak,Retail Leasing,10/04/2019,JLL,Empire State Realty Trust,,,
148,124 North 6th Street,,Warby Parker,RedSky Capital,Brooklyn,1350,,,Williamsburg,09/23/2019,"Brian Katz, Scott Sher",Hank O'Donnell,Retail Leasing,09/27/2019,Katz & Associates,GoodSpace,,,
149,15 Avenue A,,Roberta's,Z + G Property Group,Manhattan,1300,,,East Village,09/23/2019,"Jaime Schultz, Jeffrey Lopez","Chris DeCrosta, Roberto Rhett",Retail Leasing,09/27/2019,Lee & Associates NYC,GoodSpace,,,
150,150 West 22nd Street,,Inked,M. Rapaport Company,Manhattan,8500,,,Chelsea,09/19/2019,"Dennis Someck,Justin Myers","Jay Fuller, M. Rapaport, Eli Someck",Retail Leasing,09/20/2019,Lee & Associates NYC,"M. Rapaport Company, Redwood Property Group",,,
151,624 West 57th Street,,Hopscotch Montessori School,Durst Organization,Manhattan,6855,,,Hell's Kitchen,09/18/2019,Victoria Bokk,"Ashlea Aaron, JP Sutro, Richard Kave",Retail Leasing,09/20/2019,Versus Real Estate,"Durst Organization, Lee & Associates NYC",,,
152,1089 Pacific Street,,Mike Montanez Tabata Ultimate Fitness,ZAP,Brooklyn,2500,,,Crown Heights,09/18/2019,,"Chris Havens, Caroline Pardo, Micah Hecht",Retail Leasing,09/20/2019,,TerraCRG,,,
153,2175 Broadway,,Buy Buy Baby,Lophijo Realty,Manhattan,9685,,,Upper West Side,09/16/2019,"Gary Trock, Zach Parisi",,Retail Leasing,09/20/2019,CBRE,,,,
154,20 Prince Street,,Marine Layer,20-22 Prince LLC,Manhattan,1800,,,Nolita,09/16/2019,Jason Greenstone,James Famularo,Retail Leasing,09/20/2019,Cushman & Wakefield,Meridian Capital Group,,,
155,94-00 Liberty Avenue,,Popeyes,Leeds Properties,Queens,3000,,,Ozone Park,09/15/2019,Mitch Weiss,Mitch Weiss,Retail Leasing,10/25/2019,Merchants Realty Services,Merchants Realty Services,,,
156,1000 Broadway,,Thai Restaurant,All Year Management,Brooklyn,1583,,,Bedford-Stuyvesant,09/10/2019,Ross Adams,"Brad Krosser, Alan Chabbott",Retail Leasing,09/27/2019,EXR,EXR,,,
157,139 Flatbush Avenue,,Sephora,Madison International Realty,Brooklyn,5500,,,Clinton Hill,09/06/2019,Virginia Pittarelli,"Brandon Singer, Ian Lerner, Alan Schmerzler, Diana Boutross",Retail Leasing,09/06/2019,Crown Retail Advisors,Cushman & Wakefield,,,
158,111 West 17th Street,,17 Prime,Pajeot & Otter,Manhattan,1740,,,Chelsea,09/05/2019,"Segal Bengigi, Elad Dror, Tony Park","Segal Bengigi, Elad Dror, Tony Park",Retail Leasing,09/27/2019,PD Properties,PD Properties,,,
159,124 East 57th Street,,Dunkin,Solil Management,Manhattan,2500,,,Plaza District,09/01/2019,"Louis Franco, Joseph Isa","Louis Franco, Joseph Isa",Retail Leasing,09/20/2019,Isa Realty Group,Isa Realty Group,,,
160,94 9th Street,,Artisanal Brewing Ventures,New York Industry Capital Partners,Brooklyn,20000,,,Gowanus,08/30/2019,"Andrew Connolly, Jennifer Watson",,Retail Leasing,08/30/2019,Newmark Knight Frank,New York Industry Capital Partners,,,
161,319 Bowery,,Gaijin Omakase,Steven Croman,Manhattan,1800,,,East Village,08/29/2019,Kevin Bisconti,"John Roesch, James Famularo",Retail Leasing,08/30/2019,Meridian Capital Group,Meridian Capital Group,,,
162,56 East 170th Street,,Fabco Shoes,CS Realty Associates,Bronx,4400,,,Longwood Melrose,08/28/2019,Ezra Saff,,Retail Leasing,08/30/2019,Retail Zone,,,,
163,1623 Kings Highway,,Verizon,Interborough Developmental,Brooklyn,3960,,,Midwood,08/28/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,08/30/2019,Augenbaum Realty,Augenbaum Realty,,,
164,89-22 Jamaica Avenue,,Modern MD,89-22 Jamaica Avenue Realty,Queens,3000,,,Woodhaven,08/28/2019,Ezra Saff,,Retail Leasing,08/30/2019,Retail Zone,,,,
165,35-00 48th Street,,Burlington Coat Factory,"Heidenburg Properties, Lerner Properties",Queens,40834,,,Astoria,08/27/2019,Cliff Simon,Andrew Aberham, Jason Lerner,Retail Leasing,08/30/2019,CNS Real Estate,Philips International, Lerner Properties,
166,2481 Creston Avenue,,Dress for Less,Abro Management,Bronx,2700,,,Fordham,08/26/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,08/30/2019,Augenbaum Realty,Augenbaum Realty,,,
167,601 Madison Avenue,,Tourneau,J-2,Manhattan,12050,,,Plaza District,08/16/2019,"Andrew Goldberg, Preston Cannon","William Abramson, Matthew Olden",Retail Leasing,08/16/2019,CBRE,Buchbinder & Warren Realty Group,,,
168,601 Madison Avenue,,Tourneau,J-2,Manhattan,12050,,,Plaza District,08/16/2019,"Andrew Goldberg, Preston Cannon","William Abramson, Matthew Olden",Retail Leasing,08/16/2019,CBRE,Buchbinder & Warren Realty Group,,,
169,1385 Broadway,,By Chloe,B. Bros Broadway Realty,Manhattan,1700,,,Garment District,08/14/2019,,,Retail Leasing,08/16/2019,,,,,
170,1385 Broadway,,By Chloe,B. Bros Broadway Realty,Manhattan,1700,,,Garment District,08/14/2019,,,Retail Leasing,08/16/2019,,,,,
171,1385 Broadway,,By Chloe,B. Bros Broadway Realty,Manhattan,1700,,,Garment District,08/14/2019,,,Retail Leasing,08/16/2019,,,,,
172,27 Union Square West,,By Chloe,GFP Real Estate,Manhattan,1650,,,Flatiron,08/14/2019,,,Retail Leasing,08/16/2019,,,,,
173,27 Union Square West,,By Chloe,GFP Real Estate,Manhattan,1650,,,Flatiron,08/14/2019,,,Retail Leasing,08/16/2019,,,,,
174,27 Union Square West,,By Chloe,GFP Real Estate,Manhattan,1650,,,Flatiron,08/14/2019,,,Retail Leasing,08/16/2019,,,,,
175,254 Park Avenue South,,The Shade Store,HUBB NYC,Manhattan,1610,,,Flatiron,08/14/2019,"Jason Pruger, Lucas Kooyman","Lindsay Zegans, Richard Skulnik  ",Retail Leasing,08/16/2019,Newmark Knight Frank,Ripco Real Estate,,,
176,254 Park Avenue South,,The Shade Store,HUBB NYC,Manhattan,1610,,,Flatiron,08/14/2019,"Jason Pruger, Lucas Kooyman","Lindsay Zegans, Richard Skulnik  ",Retail Leasing,08/16/2019,Newmark Knight Frank,Ripco Real Estate,,,
177,399 Park Avenue,,By Chloe,Boston Properties,Manhattan,1200,,,Plaza District,08/14/2019,,"Steven Soutedjnik, Molly Sendza",Retail Leasing,08/16/2019,,Cushman & Wakefield,,,
178,509 Madison Avenue,,Carmina,Kensico Properties,Manhattan,1674,,,Plaza District,08/13/2019,Alejandro Cruz-Mayor Suarez,"Arthur Maglio, Diana Zisholtz, Corey Shuster",Retail Leasing,08/16/2019,Corbett & Dullea,Douglas Elliman,,,
179,509 Madison Avenue,,Carmina,Kensico Properties,Manhattan,1674,,,Plaza District,08/13/2019,Alejandro Cruz-Mayor Suarez,"Arthur Maglio, Diana Zisholtz, Corey Shuster",Retail Leasing,08/16/2019,Corbett & Dullea,Douglas Elliman,,,
180,509 Madison Avenue,,Carmina,Kensico Properties,Manhattan,1674,,,Plaza District,08/13/2019,Alejandro Cruz-Mayor Suarez,"Arthur Maglio, Diana Zisholtz, Corey Shuster",Retail Leasing,08/16/2019,Corbett & Dullea,Douglas Elliman,,,
181,572 11th Avenue,,Starbucks,Moinian Group,Manhattan,1630,,,Hell's Kitchen,08/13/2019,"David Firestein, Amanda Keller",Brad Schwarz,Retail Leasing,08/16/2019,SCG Retail,Lee & Associates NYC,,,
182,572 11th Avenue,,Starbucks,Moinian Group,Manhattan,1630,,,Hell's Kitchen,08/13/2019,"David Firestein, Amanda Keller",Brad Schwarz,Retail Leasing,08/16/2019,SCG Retail,Lee & Associates NYC,,,
183,572 11th Avenue,,Starbucks,Moinian Group,Manhattan,1630,,,Hell's Kitchen,08/13/2019,"David Firestein, Amanda Keller",Brad Schwarz,Retail Leasing,08/16/2019,SCG Retail,Lee & Associates NYC,,,
184,870 Seventh Avenue,,Starbucks,PC Festivus,Manhattan,1430,,,Midtown West,08/13/2019,"David Firestein, Amanda Keller",Kristen Crossman,Retail Leasing,08/16/2019,SCG Retail,CBRE,,,
185,511 Lexington Avenue,,Starbucks,Diamondrock NY Lex Owner,Manhattan,655,,,Grand Central,08/13/2019,"David Firestein, Amanda Keller",Kristen Crossman,Retail Leasing,08/16/2019,SCG Retail,CBRE,,,
186,511 Lexington Avenue,,Starbucks,Diamondrock NY Lex Owner,Manhattan,655,,,Grand Central,08/13/2019,"David Firestein, Amanda Keller",Kristen Crossman,Retail Leasing,08/16/2019,SCG Retail,CBRE,,,
187,511 Lexington Avenue,,Starbucks,Diamondrock NY Lex Owner,Manhattan,655,,,Grand Central,08/13/2019,"David Firestein, Amanda Keller",Kristen Crossman,Retail Leasing,08/16/2019,SCG Retail,CBRE,,,
188,600 Sixth Avenue,,Sweat440,United American Land,Manhattan,5321,,,Flatiron,08/12/2019,"Jared Robins, Ravi Idnani",Andrew Mandell,Retail Leasing,08/16/2019,RKF,Ripco Real Estate,,,
189,2547 Broadway,,La Vera Pizza,251 West 95th Street Owners,Manhattan,1050,,,Upper West Side,08/12/2019,Aaron Noorani,,Retail Leasing,08/16/2019,Winick Realty Group,BNS Realty,,,
190,240 West 40th Street,,Taco Bell Cantina,Olmstead Properties,Manhattan,2420,,,Garment District,08/09/2019,David Firestein,"Aaron Noorani, Richard Smith",Retail Leasing,08/09/2019,SCG Retail,Winick Realty Group,,,
191,240 West 40th Street,,Taco Bell Cantina,Olmstead Properties,Manhattan,2420,,,Garment District,08/09/2019,David Firestein,"Aaron Noorani, Richard Smith",Retail Leasing,08/09/2019,SCG Retail,Winick Realty Group,,,
192,240 West 40th Street,,Taco Bell Cantina,Olmstead Properties,Manhattan,2420,,,Garment District,08/09/2019,David Firestein,"Aaron Noorani, Richard Smith",Retail Leasing,08/09/2019,SCG Retail,Winick Realty Group,,,
193,240 West 40th Street,,Taco Bell Cantina,Olmstead Properties,Manhattan,2420,,,Garment District,08/09/2019,David Firestein,"Aaron Noorani, Richard Smith",Retail Leasing,08/09/2019,SCG Retail,Winick Realty Group,,,
194,83 Maiden Lane,,MezCali,AHRC NYC,Manhattan,4170,,,Financial District,08/08/2019,"Manu Wenddum, Lee Block","Kent Swig, Andrew Simon, Brett Zelner",Retail Leasing,08/09/2019,Winick Realty Group,Helmsley Spear,,,
195,83 Maiden Lane,,MezCali,AHRC NYC,Manhattan,4170,,,Financial District,08/08/2019,"Manu Wenddum, Lee Block","Kent Swig, Andrew Simon, Brett Zelner",Retail Leasing,08/09/2019,Winick Realty Group,Helmsley Spear,,,
196,83 Maiden Lane,,MezCali,AHRC NYC,Manhattan,4170,,,Financial District,08/08/2019,"Manu Wenddum, Lee Block","Kent Swig, Andrew Simon, Brett Zelner",Retail Leasing,08/09/2019,Winick Realty Group,Helmsley Spear,,,
197,83 Maiden Lane,,MezCali,AHRC NYC,Manhattan,4170,,,Financial District,08/08/2019,"Manu Wenddum, Lee Block","Kent Swig, Andrew Simon, Brett Zelner",Retail Leasing,08/09/2019,Winick Realty Group,Helmsley Spear,,,
198,2923 3rd Avenue,,XIOS,2923 3rd Avenue LLC,Bronx,2200,,,Morrisania,08/07/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,08/09/2019,Augenbaum Realty,Augenbaum Realty,,,
199,2923 3rd Avenue,,XIOS,2923 3rd Avenue LLC,Bronx,2200,,,Morrisania,08/07/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,08/09/2019,Augenbaum Realty,Augenbaum Realty,,,
200,2923 3rd Avenue,,XIOS,2923 3rd Avenue LLC,Bronx,2200,,,Morrisania,08/07/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,08/09/2019,Augenbaum Realty,Augenbaum Realty,,,
201,2923 3rd Avenue,,XIOS,2923 3rd Avenue LLC,Bronx,2200,,,Morrisania,08/07/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,08/09/2019,Augenbaum Realty,Augenbaum Realty,,,
202,527 Atlantic Avenue,,The Finery,Thor Equities,Brooklyn,2000,,,Boerum Hill,08/07/2019,,,Retail Leasing,08/09/2019,,,,,
203,527 Atlantic Avenue,,The Finery,Thor Equities,Brooklyn,2000,,,Boerum Hill,08/07/2019,,,Retail Leasing,08/09/2019,,,,,
204,527 Atlantic Avenue,,The Finery,Thor Equities,Brooklyn,2000,,,Boerum Hill,08/07/2019,,,Retail Leasing,08/09/2019,,,,,
205,41 Madison Avenue,,Straussie's,Rudin Management,Manhattan,4954,,,Flatiron,08/06/2019,"John DiGangi, Henry Rossignol","John DiGangi, Henry Rossignol",Retail Leasing,08/09/2019,Murro Realty,Murro Realty,,,
206,41 Madison Avenue,,Straussie's,Rudin Management,Manhattan,4954,,,Flatiron,08/06/2019,"John DiGangi, Henry Rossignol","John DiGangi, Henry Rossignol",Retail Leasing,08/09/2019,Murro Realty,Murro Realty,,,
207,41 Madison Avenue,,Straussie's,Rudin Management,Manhattan,4954,,,Flatiron,08/06/2019,"John DiGangi, Henry Rossignol","John DiGangi, Henry Rossignol",Retail Leasing,08/09/2019,Murro Realty,Murro Realty,,,
208,41 Madison Avenue,,Straussie's,Rudin Management,Manhattan,4954,,,Flatiron,08/06/2019,"John DiGangi, Henry Rossignol","John DiGangi, Henry Rossignol",Retail Leasing,08/09/2019,Murro Realty,Murro Realty,,,
209,3805 Broadway,,Associated Supermarket,Dynamic Broadway Corp,Manhattan,3200,,,Washington Heights,08/06/2019,Maria Fernandez,Todd Korren,Retail Leasing,08/09/2019,Avison Young,Avison Young,,,
210,3805 Broadway,,Associated Supermarket,Dynamic Broadway Corp,Manhattan,3200,,,Washington Heights,08/06/2019,Maria Fernandez,Todd Korren,Retail Leasing,08/09/2019,Avison Young,Avison Young,,,
211,3805 Broadway,,Associated Supermarket,Dynamic Broadway Corp,Manhattan,3200,,,Washington Heights,08/06/2019,Maria Fernandez,Todd Korren,Retail Leasing,08/09/2019,Avison Young,Avison Young,,,
212,3805 Broadway,,Associated Supermarket,Dynamic Broadway Corp,Manhattan,3200,,,Washington Heights,08/06/2019,Maria Fernandez,Todd Korren,Retail Leasing,08/09/2019,Avison Young,Avison Young,,,
213,199 Orchard Street,,Uni K Wax,Orchard Houston,Manhattan,1000,,,Lower East Side,08/06/2019,Adam Goldschmidt,"Aaron Gavios, Margaret Royer",Retail Leasing,08/09/2019,Goldco Realty,Gavios Realty Group,,,
214,199 Orchard Street,,Uni K Wax,Orchard Houston,Manhattan,1000,,,Lower East Side,08/06/2019,Adam Goldschmidt,"Aaron Gavios, Margaret Royer",Retail Leasing,08/09/2019,Goldco Realty,Gavios Realty Group,,,
215,199 Orchard Street,,Uni K Wax,Orchard Houston,Manhattan,1000,,,Lower East Side,08/06/2019,Adam Goldschmidt,"Aaron Gavios, Margaret Royer",Retail Leasing,08/09/2019,Goldco Realty,Gavios Realty Group,,,
216,199 Orchard Street,,Uni K Wax,Orchard Houston,Manhattan,1000,,,Lower East Side,08/06/2019,Adam Goldschmidt,"Aaron Gavios, Margaret Royer",Retail Leasing,08/09/2019,Goldco Realty,Gavios Realty Group,,,
217,159-10 Jamaica Avenue,,New York & Company,Mattone Group,Queens,15115,,,Jamaica,08/05/2019,Brian Katz,Aaron Fleishaker,Retail Leasing,08/09/2019,Katz & Associates,Mattone Group,,,
218,159-10 Jamaica Avenue,,New York & Company,Mattone Group,Queens,15115,,,Jamaica,08/05/2019,Brian Katz,Aaron Fleishaker,Retail Leasing,08/09/2019,Katz & Associates,Mattone Group,,,
219,159-10 Jamaica Avenue,,New York & Company,Mattone Group,Queens,15115,,,Jamaica,08/05/2019,Brian Katz,Aaron Fleishaker,Retail Leasing,08/09/2019,Katz & Associates,Mattone Group,,,
220,159-10 Jamaica Avenue,,New York & Company,Mattone Group,Queens,15115,,,Jamaica,08/05/2019,Brian Katz,Aaron Fleishaker,Retail Leasing,08/09/2019,Katz & Associates,Mattone Group,,,
221,97-01 Northern Boulevard,,Blink Fitness,361 Henry LLC,Queens,15000,,,East Elmhurst,08/02/2019,Ezra Saff,,Retail Leasing,08/30/2019,Retail Zone,,,,
222,162-11 Jamaica Avenue,,Fabco Shoes,Abeco Management,Queens,4000,,,Jamaica,08/02/2019,Ezra Saff,,Retail Leasing,08/30/2019,Retail Zone,,,,
223,619 West 181st Street,,Modell's Sporting Goods,Rosewood Holding,Manhattan,14580,,,Washington Heights,08/01/2019,Josh Augenbaum,"Michael Friedman, David Alani",Retail Leasing,08/02/2019,Augenbaum Realty,Inline Realty,,,
224,557 Third Avenue,,Fred Astaire Dance Studio,S & M Enterprises,Manhattan,2353,,,Murray Hill,08/01/2019,"Louis Franco, Joseph Isa","Louis Franco, Joseph Isa",Retail Leasing,08/16/2019,Isa Realty Group,Isa Realty Group,,,
225,557 Third Avenue,,Fred Astaire Dance Studio,S & M Enterprises,Manhattan,2353,,,Murray Hill,08/01/2019,"Louis Franco, Joseph Isa","Louis Franco, Joseph Isa",Retail Leasing,08/16/2019,Isa Realty Group,Isa Realty Group,,,
226,345 Bleecker Street,,Go Kigali,343-5 Bleecker Street LLC,Manhattan,1350,,,West Village,08/01/2019,"Peter Whitenack, TJ Cholnoly","William Abramson, Matthew Olden",Retail Leasing,08/16/2019,RKF,Buchbinder & Warren Realty Group,,,
227,345 Bleecker Street,,Go Kigali,343-5 Bleecker Street LLC,Manhattan,1350,,,West Village,08/01/2019,"Peter Whitenack, TJ Cholnoly","William Abramson, Matthew Olden",Retail Leasing,08/16/2019,RKF,Buchbinder & Warren Realty Group,,,
228,176 Spring Street,,Mochidoki,170 Spring Street LLC,Manhattan,372,,,Soho,08/01/2019,"Louis Franco, Joseph Isa","Scott Klatsky, Scott Schneidman",Retail Leasing,08/16/2019,Isa Realty Group,Time Equities,,,
229,176 Spring Street,,Mochidoki,170 Spring Street LLC,Manhattan,372,,,Soho,08/01/2019,"Louis Franco, Joseph Isa","Scott Klatsky, Scott Schneidman",Retail Leasing,08/16/2019,Isa Realty Group,Time Equities,,,
